spelling,summary_meaning,display_letter,full_definition,example_sentence,example_translation,mnemonic_tip
greedy,탐욕스러운,g,탐욕스러운,He was a ruthless and greedy businessman.,그는 무자비하고 탐욕스러운 사업가였다.,  'Greedy' = Grab. Everything. Every Day. (매일 모든 것을 움켜쥐려는)
hungry,배고픈,h,배고픈,There are millions of hungry people throughout the world.,전 세계적으로 수백만 명의 배고픈 사람들이 있다.,  'Hungry' = Hunger (굶주림). 기본적인 단어로 직접 의미 연관.
avid,"열망하는, 열렬한",a,"열망하는, 열렬한",He is an avid admirer of horror movies.,그는 공포 영화의 열렬한 팬이다.,  'Avid' = Add + Video. 영상을 계속 추가해서 볼 정도로 열렬한.
plenty,"풍부한, 많은",p,"풍부한, 많은",There's plenty more where that came from.,거기서 나온 것보다 훨씬 더 풍부하게 있다.,  'Plenty' = Full Plate. (가득 찬 접시를 연상하는) 풍부하고 많은 양.
enough,충분한,e,충분한,We have enough food for everyone.,우리는 모든 사람들을 위한 충분한 식량이 있다.,  'Enough' = End of Rough. 거친(Rough) 상황이 끝날(End) 만큼 충분한.
rich,부유한,r,부유한,Her investments have made her rich.,그녀의 투자는 그녀를 부유하게 만들었다.,  'Rich' = Reach. I. Can. Have. (내가 가질 수 있는 모든 것에 닿다)
voracious,"게걸스러운, 대식하는",v,"게걸스러운, 대식하는",He had a voracious appetite for adventure and knowledge.,그는 모험과 지식에 대한 게걸스러운 욕구를 가지고 있었다.,  'Voracious' = Vora (Devour) + cious (Delicious). 맛있어서 게걸스럽게 먹는.
ravenous,배고파 죽을 지경인,r,배고파 죽을 지경인,"By the time dinner was ready, we were ravenous.","저녁 식사가 준비될 무렵, 우리는 배고파 죽을 지경이었다.",  'Ravenous' = Raven + Us. 큰까마귀처럼 우리 모두가 덤벼들 정도로 몹시 굶주린.
gluttonous,"대식하는, 탐욕스러운",g,"대식하는, 탐욕스러운",What ensued was one of the most gluttonous team dinners in the history of sport.,그 후에 이어진 것은 스포츠 역사상 가장 탐욕스러운 팀 저녁 식사 중 하나였다.,**  'Gluttenous'에는 'Gut'**이 들어간다. 너무 많이 먹어 **배(Gut)**가 나올 정도의.
rapacious,"약탈하는, 탐욕스러운",r,"약탈하는, 탐욕스러운","The world's poor are subject to the worst of climate change, brought about by rapacious development.",세계의 가난한 사람들은 탐욕스러운 개발로 인해 야기된 최악의 기후 변화에 시달리고 있다.,  'Rapacious' = RAPID + Grab. 빠르게 강탈하여 탐욕스러운.
predatory,"포식성의, 약탈적인",p,"포식성의, 약탈적인",Hawks are predatory and may pose a danger to rabbits.,매는 포식성이어서 토끼에게 위험을 가할 수 있다.,  'Predatory' = Predator. 포식자처럼 사냥하고 약탈적인.
omnivorous,"잡식성의, 뭐든 먹는",o,"잡식성의, 뭐든 먹는","Both are omnivorous, eating just about anything that moves.","둘 다 잡식성이며, 움직이는 거의 모든 것을 먹는다.",  'Omnivorous' = Omni (모든) + Vor (먹다). 모든 것을 먹는.
insatiable,"채워지지 않는, 탐욕스러운",i,"채워지지 않는, 탐욕스러운",Her desire for knowledge was insatiable.,지식에 대한 그녀의 욕망은 채워지지 않았다.,  'Insatiable' = IN (부정) + SATIATE (충분히 만족시키다). 만족시킬 수 없는.
unquenchable,"억누를 수 없는, 탐욕스러운",u,"억누를 수 없는, 탐욕스러운",Aquarius signs have an unquenchable thirst for knowledge.,물병자리 사람들은 지식에 대한 억누를 수 없는 갈증을 가지고 있다.,  'Un' (부정) + Quench (갈증을 해소하다). 해소할 수 없는.
covetous,"탐내는, 탐욕스러운",c,"탐내는, 탐욕스러운",The expensive car drew many covetous looks.,그 비싼 차는 많은 탐내는 시선들을 끌었다.,  'Covetous' = Cover + It. 남의 물건을 덮어서라도 탐내려는 욕심.
swinish,"돼지 같은, 탐욕스러운",s,"돼지 같은, 탐욕스러운",aristocratic contempt for the swinish multitude.,평민 대중에 대한 귀족의 돼지 같은 경멸.,  'Swine' (돼지) + ish. 돼지처럼 무례하고 탐욕스러운.
hoggish,"돼지 같은, 탐욕스러운",h,"돼지 같은, 탐욕스러운",The ruling class became hoggishly self-indulgent.,지배 계층은 돼지처럼 방종하게 되었다.,  'Hog' (독차지하다) + ish. 물건을 독차지하는 돼지처럼 탐욕스러운.
wolfish,"늑대 같은, 탐욕스러운",w,"늑대 같은, 탐욕스러운",After a few minutes he returned with a wolfish smile on his face.,몇 분 후 그는 늑대 같은 미소를 지으며 돌아왔다.,  'Wolf' (늑대) + ish. 늑대처럼 사납고 게걸스러운.
edacious,게걸스러운,e,게걸스러운,Watching your edacious uncle at an all-you-can-eat buffet would be an alarming experience.,무제한 뷔페에서 당신의 게걸스러운 삼촌을 보는 것은 놀라운 경험일 것이다.,  EDibly vorACIOUS = EDACIOUS. '먹을 수 있는' + '게걸스러운' → 게걸스러운.
esurient,"굶주린, 탐욕스러운",e,"굶주린, 탐욕스러운",The esurient bear made a habit of ravaging campgrounds.,굶주린 곰은 캠프장을 약탈하는 습관이 있었다.,  'Esurient' = Eat + Sure + Rent. (먹는 것만 확실히 하려는) 굶주린 사람.
rapacity,"탐욕, 강탈",r,"탐욕, 강탈",All alike were subject to the rapacity of their gaolers.,모두가 간수들의 탐욕에 시달렸다.,  'Rapacious' (탐욕스러운)의 명사형. Rapid하게 빼앗으려는 탐욕.
avarice,탐욕,a,탐욕,The corporate world is plagued by avarice and a thirst for power.,기업 세계는 탐욕과 권력에 대한 갈증으로 고통받고 있다.,  Have a rice (avarice) pile so big that it shows up the greed. (쌀 더미를 연상하여 탐욕을 나타냄).
cupidity,"탐욕, 탐내는 마음",c,"탐욕, 탐내는 마음",The only force great enough to motivate people is pure cupidity.,사람들을 이끄는 유일한 힘은 순수한 탐욕이다.,  'Cupidity' = CUP + IDLI + TEA. (너무 많은 것을 원하는 탐욕).
gulosity,"대식, 폭식",g,"대식, 폭식",I pounced upon its literature owing to my bookish gulosity.,나는 책에 대한 대식 때문에 문학에 달려들었다.,  'Gulosity' = GULP (꿀꺽 삼키다) + OSITY. 꿀꺽 삼키는 폭식.
crapulous,폭음·폭식으로 고통받는,c,폭음·폭식으로 고통받는,The crapulous teenagers stumbled around the party spilling whiskey.,폭음·폭식으로 고통받는 십대들이 술을 흘리면서 비틀거렸다.,  'Crapulous' = Crap + Full. '나쁜' 것으로 배가 가득 찬 상태.
gorged,"잔뜩 먹은, 포식한",g,"잔뜩 먹은, 포식한","When thus gorged with food, they are exceedingly stupid.","음식으로 그렇게 잔뜩 먹으면, 그들은 극도로 둔해진다.",  'Gorge' (잔뜩 먹다)의 과거형. 음식을 잔뜩 먹어 목(Gorge)에 걸린 상태.
overfed,"과식한, 배부른",o,"과식한, 배부른",The doctor warned the owners that their cat was severely overfed.,의사는 주인들에게 그들의 고양이가 심하게 과식했다고 경고했다.,  'Over' (과도하게) + Fed (먹이를 주다). 과도하게 먹이를 주어 과식한.
