word_id,spelling
1,greedy
2,hungry
3,avid
4,plenty
5,enough
6,rich
7,voracious
8,ravenous
9,gluttonous
10,rapacious
11,predatory
12,omnivorous
13,insatiable
14,unquenchable
15,covetous
16,swinish
17,hoggish
18,wolfish
19,edacious
20,esurient
21,rapacity
22,avarice
23,cupidity
24,gulosity
25,crapulous
26,gorged
27,overfed
28,replete
29,overflowing
30,brimful
31,brimming
32,disgorge
33,rapine
34,devour
35,gormandize
36,carouse
37,intemperate
38,self-indulgent
39,dissipated
40,ingest
41,gulp
42,guzzle
43,swill
44,stuff oneself
45,wolf down
46,glutted
47,bloated
48,engorged
49,gluttony
50,voracity
51,overindulgence
52,intemperance
53,overconsumption
54,consumption
55,devouring
56,consuming
57,predacious
